emid,resolution
41795,3.63
41798,3.1
41799,2.99
41786,3.5
41843,2.9
28930,3.59
28868,3.52
28880,3.92
28749,3.7
28744,3.3
28747,3.8
28746,3.8
17604,3.05
17603,3.3
41344,3.6
41345,3.7
41334,3.8
41340,3.6
41335,3.1
41338,3.1
41336,3.2
41339,3.7
41337,3.5
41326,3.9
41333,3.0
41330,3.8
41331,3.7
41328,3.7
15983,3.2
15982,2.65
17437,3.6
17438,3.6
34005,3.72
36865,3.8
16832,3.67
16828,3.04
17787,3.99
16833,2.86
18195,3.03
40460,3.8
42001,3.96
41997,3.96
41994,2.97
29647,3.3
29656,3.3
16818,3.6
16432,3.26
36199,3.6
36197,3.9
41630,3.6
41629,3.1
34810,3.92
36493,3.12
36241,3.66
36244,3.68
36243,3.56
36242,3.86
40300,2.54
40301,2.33
40304,2.24
40299,2.53
40302,2.63
18029,3.5
18028,2.01
17080,3.9
18030,2.12
16072,3.5
16073,3.1
17390,2.7
17388,3.1
17169,3.52
28028,3.9
27890,3.43
27889,3.13
28872,3.4
28871,3.1
28870,3.2
40074,3.6
28984,3.27
28985,3.51
28986,3.52
27762,3.1
35166,2.2
35158,2.0
35159,2.6
28735,3.6
15774,3.32
27701,3.1
29614,2.9
29616,2.85
29635,2.7
29617,2.94
29613,2.61
29609,2.77
29608,2.79
29611,2.74
29612,2.84
29610,2.54
17159,3.9
16542,2.9
16548,3.0
26980,2.89
40246,3.5
40247,3.9
14376,3.8
29673,3.4
29949,3.2
26726,3.1
26725,2.9
29957,3.3
29976,3.8
29542,3.19
29543,3.18
29545,3.39
29544,3.18
16388,3.1
29870,2.7
29886,3.9
28783,2.6
28786,2.8
28792,3.0
29508,2.7
29510,3.3
29509,3.22
29507,2.9
27229,3.37
